"subid"	"verb"	"noun"	"dir"	"big"	"small"
"346"	"anon-17.json"	"are"	"pin"	"na"	3	2
"347"	"anon-17.json"	"are"	"seed"	"na"	3	3
"348"	"anon-17.json"	"are"	"tack"	"na"	3	2
"349"	"anon-173.json"	"are"	"ant"	"na"	4	3
"350"	"anon-173.json"	"are"	"bean"	"na"	3	2
"351"	"anon-173.json"	"are"	"blueberry"	"na"	4	3
"352"	"anon-173.json"	"are"	"candy"	"na"	NA	3
"353"	"anon-173.json"	"are"	"earring"	"na"	4	3
"354"	"anon-173.json"	"are"	"fly"	"na"	4	3
"355"	"anon-173.json"	"are"	"hazelnut"	"na"	4	3
"356"	"anon-173.json"	"are"	"ladybug"	"na"	3	3
"357"	"anon-173.json"	"are"	"pill"	"na"	3	3
"358"	"anon-173.json"	"are"	"pin"	"na"	3	2
"359"	"anon-173.json"	"are"	"seed"	"na"	3	3
"360"	"anon-173.json"	"are"	"tack"	"na"	4	2
"361"	"anon-176.json"	"are"	"ant"	"na"	NA	2
"362"	"anon-176.json"	"are"	"bean"	"na"	5	2
"363"	"anon-176.json"	"are"	"blueberry"	"na"	5	2
"364"	"anon-176.json"	"are"	"candy"	"na"	5	1
"365"	"anon-176.json"	"are"	"earring"	"na"	4	2
"366"	"anon-176.json"	"are"	"fly"	"na"	5	1
"367"	"anon-176.json"	"are"	"hazelnut"	"na"	5	2
"368"	"anon-176.json"	"are"	"ladybug"	"na"	5	1
"369"	"anon-176.json"	"are"	"pill"	"na"	5	2
"370"	"anon-176.json"	"are"	"pin"	"na"	5	2
"371"	"anon-176.json"	"are"	"seed"	"na"	4	2
"372"	"anon-176.json"	"are"	"tack"	"na"	5	1
"373"	"anon-178.json"	"are"	"ant"	"na"	NA	2
"374"	"anon-178.json"	"are"	"bean"	"na"	5	3
"375"	"anon-178.json"	"are"	"blueberry"	"na"	4	NA
"376"	"anon-178.json"	"are"	"candy"	"na"	4	2
"377"	"anon-178.json"	"are"	"earring"	"na"	5	3
"378"	"anon-178.json"	"are"	"fly"	"na"	NA	3
"379"	"anon-178.json"	"are"	"hazelnut"	"na"	4	3
"380"	"anon-178.json"	"are"	"ladybug"	"na"	5	3
"381"	"anon-178.json"	"are"	"pill"	"na"	4	2
"382"	"anon-178.json"	"are"	"pin"	"na"	4	2
"383"	"anon-178.json"	"are"	"seed"	"na"	4	3
"384"	"anon-178.json"	"are"	"tack"	"na"	4	3
"385"	"anon-18.json"	"are"	"ant"	"na"	3	1
"386"	"anon-18.json"	"are"	"bean"	"na"	3	1
"387"	"anon-18.json"	"are"	"blueberry"	"na"	2	1
"388"	"anon-18.json"	"are"	"candy"	"na"	2	1
"389"	"anon-18.json"	"are"	"earring"	"na"	2	2
"390"	"anon-18.json"	"are"	"fly"	"na"	1	3
"391"	"anon-18.json"	"are"	"hazelnut"	"na"	3	1
"392"	"anon-18.json"	"are"	"ladybug"	"na"	3	2
"393"	"anon-18.json"	"are"	"pill"	"na"	3	1
"394"	"anon-18.json"	"are"	"pin"	"na"	3	3
"395"	"anon-18.json"	"are"	"seed"	"na"	3	1
"396"	"anon-18.json"	"are"	"tack"	"na"	3	3
"397"	"anon-181.json"	"are"	"ant"	"na"	2	2
"398"	"anon-181.json"	"are"	"bean"	"na"	2	2
"399"	"anon-181.json"	"are"	"blueberry"	"na"	2	1
"400"	"anon-181.json"	"are"	"candy"	"na"	2	2
"401"	"anon-181.json"	"are"	"earring"	"na"	2	2
"402"	"anon-181.json"	"are"	"fly"	"na"	2	2
"403"	"anon-181.json"	"are"	"hazelnut"	"na"	2	2
"404"	"anon-181.json"	"are"	"ladybug"	"na"	2	2
"405"	"anon-181.json"	"are"	"pill"	"na"	2	2
"406"	"anon-181.json"	"are"	"pin"	"na"	2	1
"407"	"anon-181.json"	"are"	"seed"	"na"	2	2
"408"	"anon-181.json"	"are"	"tack"	"na"	2	1
"409"	"anon-184.json"	"are"	"ant"	"na"	2	2
"410"	"anon-184.json"	"are"	"bean"	"na"	2	1
"411"	"anon-184.json"	"are"	"blueberry"	"na"	2	1
"412"	"anon-184.json"	"are"	"candy"	"na"	2	1
"413"	"anon-184.json"	"are"	"earring"	"na"	2	2
"414"	"anon-184.json"	"are"	"fly"	"na"	2	2
"415"	"anon-184.json"	"are"	"hazelnut"	"na"	2	2
"416"	"anon-184.json"	"are"	"ladybug"	"na"	3	2
"417"	"anon-184.json"	"are"	"pill"	"na"	2	2
"418"	"anon-184.json"	"are"	"pin"	"na"	3	2
"419"	"anon-184.json"	"are"	"seed"	"na"	1	2
"420"	"anon-184.json"	"are"	"tack"	"na"	2	2
"421"	"anon-186.json"	"are"	"ant"	"na"	3	3
"422"	"anon-186.json"	"are"	"bean"	"na"	3	3
"423"	"anon-186.json"	"are"	"blueberry"	"na"	3	3
"424"	"anon-186.json"	"are"	"candy"	"na"	3	3
"425"	"anon-186.json"	"are"	"earring"	"na"	3	3
"426"	"anon-186.json"	"are"	"fly"	"na"	NA	3
"427"	"anon-186.json"	"are"	"hazelnut"	"na"	3	3
"428"	"anon-186.json"	"are"	"ladybug"	"na"	3	3
"429"	"anon-186.json"	"are"	"pill"	"na"	3	3
"430"	"anon-186.json"	"are"	"pin"	"na"	3	3
"431"	"anon-186.json"	"are"	"seed"	"na"	3	3
"432"	"anon-186.json"	"are"	"tack"	"na"	3	3
"433"	"anon-19.json"	"are"	"ant"	"na"	3	3
"434"	"anon-19.json"	"are"	"bean"	"na"	3	2
"435"	"anon-19.json"	"are"	"blueberry"	"na"	3	2
"436"	"anon-19.json"	"are"	"candy"	"na"	3	2
"437"	"anon-19.json"	"are"	"earring"	"na"	2	2
"438"	"anon-19.json"	"are"	"fly"	"na"	3	2
"439"	"anon-19.json"	"are"	"hazelnut"	"na"	3	2
"440"	"anon-19.json"	"are"	"ladybug"	"na"	3	2
"441"	"anon-19.json"	"are"	"pill"	"na"	3	2
"442"	"anon-19.json"	"are"	"pin"	"na"	3	2
"443"	"anon-19.json"	"are"	"seed"	"na"	3	2
"444"	"anon-19.json"	"are"	"tack"	"na"	3	2
"445"	"anon-190.json"	"are"	"ant"	"na"	4	2
"446"	"anon-190.json"	"are"	"bean"	"na"	4	2
"447"	"anon-190.json"	"are"	"blueberry"	"na"	4	2
"448"	"anon-190.json"	"are"	"candy"	"na"	4	2
"449"	"anon-190.json"	"are"	"earring"	"na"	4	2
"450"	"anon-190.json"	"are"	"fly"	"na"	4	2
